DrugID	TargetID
D02FZD	T61744
D02FZD	T10265
D07ABI	T81850
D0UB6O	T16691
D0U9QL	T52921
D08MDL	T46937
D0Z9WK	T30985
D0X5US	T56057
D0X5US	T32880
D0X5US	T73863
D0X5US	T25362
D0WA3E	T32880
D0Q1BD	T69091
D00ODL	T28330
D0I2FZ	T63846
D0I2FZ	T55398
D09JUD	T55398
D0J8VR	T55398
D0GG9W	T14630
D0RI3H	T76198
D00DXI	T03634
D0R6MT	T92072
D04EWW	T53892
D06MBD	T96079
D05VQJ	T96079
D04CFM	T55398
D0J3FH	T15439
D06III	T86528
D0W0FX	T86528
D0Z8EU	T86528
D0H4MO	T86528
D0Y3XR	T86528
D0S7YD	T86528
D02SNU	T86528
D0Q5DI	T68547
D0Q5DI	T22274
D0B7MW	T69091
D0M6TB	T92689
D0OR6C	T92689
D0D9AA	T69091
D0X7IC	T85943
D0X7IC	T08741
D0X7IC	T68163
D0X7IC	T04361
D0X7IC	T07191
D00XEN	T02551
D0O6XT	T35809
D0O6XT	T41145
D0O6XT	T27466
D02LTS	T13852
D04UNE	T51408
D03UXO	T19531
D07GEL	T08856
D07GEL	T81658
D0X7BG	T45674
D07FUN	T47094
D0V5SQ	T31204
D0V5SQ	T32060
D0V5SQ	T83813
D0MU4A	T31204
D0MU4A	T41580
D0MU4A	T01777
D0MU4A	T29500
D09SUO	T14731
D0OJ7S	T02728
D05HYV	T02728
D0A1WR	T52297
D0A1WR	T13714
D00MGT	T16633
D0U2QT	T92463
D0Q0OR	T79232
D07ILP	T09826
D01VLQ	T00140
D0B0XK	T00140
D0WW1K	T00140
D0E6BA	T86052
D0YQ0G	T30803
D0CQ1J	T59929
D01YSN	T40556
D06VOJ	T81850
D0I3TX	T81850
D0IR6U	T08391
D0IR6U	T23172
D0IR6U	T78932
D0E5IP	T08391
D0E5IP	T59328
D0E5IP	T23172
D0E5IP	T62460
D0YX5U	T62460
D0YX5U	T23172
D01XYD	T08123
D09NSH	T64765
D09BGI	T20331
D0N2GM	T23714
D06GIL	T59604
D00XJR	T26500
D06FIK	T28330
D0Y4BL	T51076
D0Y4BL	T57700
D0Y4BL	T12499
D0Y4BL	T55414
D0Y4BL	T74312
D02WBY	T10670
D0L0HG	T00663
D0L0HG	T06037
D00HVA	T40097
D00HVA	T00663
D00HVA	T06037
D0VJ2S	T06037
D0I6HV	T60182
D0C2NK	T31204
D0C2NK	T32060
D0C2NK	T83813
D03RYY	T23714
D0Q0OR	T84486
D0HZ8U	T82262
D0HZ8U	T38134
D0E1QI	T40474
D09MAZ	T56923
D0T4MJ	T62431
D0T4MJ	T64553
D03YUW	T85943
D03YUW	T62431
D0X7MB	T92640
D03BPG	T03818
D0LZ5R	T07663
D08NJD	T96079
D0I6AN	T96079
D0TL6C	T96079
D0L3SA	T47094
D0K2PD	T06273
D0V4AX	T99912
D00ASH	T99912
D0RE7T	T74456
D0A2KT	T67684
D04FQA	T74456
D05MJU	T17758
D0Y7YL	T55922
D0AS0V	T84581
D0V2QF	T55922
D0V2QF	T37271
D04LDP	T76497
D07CJR	T00140
D00RDY	T91661
D0VJ2S	T00663
D0VJ2S	T40097
D0L7IZ	T01777
D0G0MZ	T18664
D0WE4C	T97613
D09LGT	T25315
D0O0HR	T86679
D08GKT	T13491
D0I3HE	T86679
D0I3HE	T92072
D0I3HE	T36059
D00BAJ	T21585
D00BAJ	T46685
D00BAJ	T92803
D02LXI	T92640
D02LXI	T26073
D02LXI	T39380
D02LXI	T95923
D08BJR	T57700
D08BJR	T80975
D08BJR	T55414
D08BJR	T59102
D0S9AT	T98134
D0Q4EG	T22274
D0U3YQ	T19693
D0N9YP	T81900
D0N0ED	T81900
D0S9JG	T40243
D02MLI	T13644
D08OMB	T76414
D08OMB	T22285
D0U0TS	T69485
D0D6XV	T34234
D0RM7J	T89988
D0B2WZ	T18784
D0FT0J	T72595
D0FT0J	T56588
D0FT0J	T76414
D0FT0J	T22285
D03XLS	T22285
D03XLS	T76414
D03XLS	T56588
D03XLS	T72595
D06KHR	T12581
D06KHR	T76678
D06KHR	T61227
D07HKU	T86679
D0R0TW	T05031
D0R0TW	T81735
D0R0TW	T95913
D01PWM	T99816
D01WHI	T79232
D01WHI	T84486
D0C9XD	T20331
D05JIS	T84486
D0D5QP	T84486
D08ZAK	T84486
D03BDK	T84486
D07KWZ	T84486
D07SEU	T41195
D0K9GG	T47094
D02VUM	T81850
D06RCI	T81850
D00CEN	T81850
D0H9AX	T28330
D0U5HS	T51408
D03VHK	T51408
D0Q4DP	T24983
D00VJY	T44479
D0R3FS	T19693
D08RDI	T41145
D08RDI	T35809
D0C8SX	T16739
D03TKT	T53585
D0XI3W	T77393
D0N3YN	T92640
D0P3HG	T76198
D0T2GA	T15497
D0J2WC	T92640
D0S8MS	T92640
D0I0UI	T85467
D0I0UI	T18876
D06PZZ	T67063
D05QTT	T09572
D0R4TA	T05849
D03WTU	T38529
D0NY1J	T38529
D06DNH	T95913
D06DNH	T05031
D09CSQ	T53585
D0XX9Y	T97613
D0G5DH	T87831
D0DC3N	T86528
D0UI3L	T79062
D0K9KZ	T83320
D0G6XT	T92640
D0G6XT	T26073
D0G6XT	T00488
D0G6XT	T95923
D01HRV	T11072
D07UDT	T85467
D0X6DO	T85467
D08VBE	T86428
D09HET	T31721
D0AK4K	T18876
D0AK4K	T85467
D01TRN	T68782
D08KPK	T18876
D08KPK	T85467
D07TWQ	T85467
D0Y2WP	T98642
D0KJ4Q	T78709
D0IY9H	T13726
D00JHN	T46245
D0IQ7Y	T56871
D0IQ7Y	T28052
D0ZS8N	T55956
D04MSI	T30163
D0LO5B	T58449
D0E7AZ	T30985
D00BXG	T58992
D0R7JA	T07930
D0R7JA	T98698
D0R7JA	T03687
D0R7JA	T63816
D01VVM	T69091
D0H0HR	T75243
D0X6OV	T72841
D0ES2U	T05849
D0ES2U	T28330
D06KSF	T46700
D02VQO	T04497
D01SPH	T96862
D0N0JL	T86528
D07GUB	T31721
D07GUB	T30163
D06GNE	T81735
D03QQH	T81735
D0FZ6A	T95923
D04KQT	T95923
D0P9IA	T03453
D0OZ2S	T12499
D09TFN	T82383
D09TFN	T94880
D09TFN	T55781
D06CMG	T53389
D06CMG	T12091
D06CMG	T36959
D06CMG	T60213
D0N6BC	T56051
D04IMY	T92803
D04IMY	T46685
D04IMY	T39486
D04IMY	T21585
D04IMY	T50594
D04IMY	T20542
D0Q9FZ	T60077
D0Q9FZ	T13726
D0Q9FZ	T46456
D0B8WQ	T82577
D03DMR	T67684
D02DKX	T51408
D0J2WN	T62820
D05KHS	T46937
D09FAO	T29683
D07IAK	T99816
D0I5CS	T99816
D09FRL	T09909
D0D2ZM	T28330
D0D2ZM	T05849
D08VRJ	T05849
D0W1HZ	T23499
D03DJR	T53524
D0BW4G	T59102
D06ZUA	T59102
D0A6FZ	T68706
D0A6FZ	T33211
D09SUP	T52921
D0WK9R	T08123
D0B6KT	T08123
D06QBJ	T21307
D02VQO	T85115
D07GPQ	T67684
D0I9AT	T89697
D0AX0K	T24983
D07ALM	T50773
D04NPE	T22285
D04NPE	T76414
D04NPE	T56588
D04NPE	T72595
D01KVG	T79062
D00VXM	T05090
D00VXM	T28887
D00VXM	T22274
D00QZA	T82665
D0X3MK	T68698
D07JLS	T81850
D03BJB	T59328
D0X4OU	T59328
D0X4OU	T96788
D05FFT	T92057
D05FFT	T96788
D05FFT	T59328
D0W7GQ	T83813
D0W7GQ	T31204
D08LXU	T23984
D03QUQ	T79232
D03QUQ	T84486
D0M6YZ	T16902
D08SND	T86014
D0K3VR	T67684
D03LNF	T40556
D09GNM	T69200
D09GNM	T00973
D0Q7IU	T41145
D0G8KA	T67818
D0W8WZ	T67818
D0P6GH	T96862
D01JCH	T96862
D00ZWA	T96862
D01ENO	T96862
D0OY8Y	T97613
D0YN8Q	T97613
D0R7IM	T52921
D03LSH	T67684
D0CX4W	T53251
D0GK7A	T53251
D0GK7A	T39996
D0BI4T	T53251
D0BI4T	T39996
D02YXP	T25265
D07ADX	T08123
D07ADX	T44341
D07ADX	T12126
D07ADX	T76508
D07ADX	T81623
D07ADX	T58924
D07ADX	T19760
D07ADX	T89323
D07ADX	T74312
D0W7GQ	T32060
D01WKR	T02719
D01WKR	T62820
D05ZHQ	T77400
D05ZHQ	T03661
D02CIT	T25265
D02MDC	T69485
D05GOP	T99524
D02BBA	T25265
D05XQD	T82665
D0N1TQ	T18876
D0C5AD	T58970
D0WW2X	T74607
D08SEK	T86399
D0Q9VD	T40000
D01QJT	T37154
D0XP5P	T32060
D02IEO	T32060
D06KKN	T53389
D06KKN	T49989
D0H0PL	T32060
D08RVB	T22285
D08RVB	T76414
D08RVB	T56588
D08RVB	T72595
D05EQC	T74456
D0AD7P	T74456
D04NAL	T32060
D0ZU9Z	T76685
D0L0SF	T32060
D0A2GI	T83813
D02XAX	T31204
D0M9QJ	T20891
D0M9QJ	T94621
D02WRU	T80896
D03DRM	T95913
D09RIC	T20958
D01SSI	T05031
D01SSI	T95913
D00PEC	T02703
D00HSJ	T81735
D00HSJ	T95913
D00HSJ	T05031
D0S5YV	T12541
D07ZAJ	T61227
D09IEN	T13726
D07OSK	T80975
D00GVV	T80975
D09LKM	T80975
D07SRX	T80975
D0I1QF	T89772
D09PZD	T96079
D09PZD	T20575
D09PZD	T89988
D09PZD	T72171
D0MH4R	T86679
D0MH4R	T36059
D0W1ZW	T13852
D0O0GW	T01280
D07IXP	T01280
D04MIN	T66383
D09OCY	T01280
D0Z4JT	T01280
D0D1FT	T74456
D04DHD	T82577
D0Z5WP	T12475
D0F2GG	T85915
D0F2GG	T76213
D0F2GG	T78915
D0S0RK	T36059
D0S0RK	T86679
D0S0RK	T92072
D0X7JK	T74312
D0I3XZ	T74312
D0I3XZ	T59102
D0X1JO	T74312
D0F8TG	T79062
D0F8TG	T16691
D09VTY	T20331
D02XAX	T32060
D00YNW	T89565
D00YNW	T98269
D00YNW	T57943
D00YNW	T72252
D00YNW	T53469
D02IUX	T62306
D09SXN	T77548
D09SXN	T61243
D09SXN	T55956
D09SXN	T99402
D00PEU	T79062
D07GXY	T31204
D07GXY	T24983
D07GXY	T01777
D0H7DQ	T40276
D0C1DQ	T04831
D03TIA	T04497
D00IWH	T59493
D0G7OZ	T74238
D0G7OZ	T71192
D03EHM	T81735
D03EHM	T75243
D03EHM	T85943
D03EHM	T80975
D03EHM	T95913
D03EHM	T53524
D03EHM	T89747
D03EHM	T31406
D03EHM	T05031
D0W1ZW	T11241
D0PI4H	T95923
D0PI4H	T92640
D05EDD	T13852
D05EDD	T11241
D0S6CW	T95923
D0S6CW	T92640
D06GFH	T11241
D06GFH	T13852
D02UNX	T67684
D01WQF	T53585
D06QYV	T23714
D0S2MO	T92072
D03MHA	T83813
D0M5PB	T86428
D0I4UU	T64765
D05JJL	T33211
D05JJL	T68706
D02WIL	T65236
D06CAL	T65236
D0N3XP	T55781
D0N3XP	T74312
D03JNC	T98275
D03JNC	T16902
D0A5GJ	T62841
D0G4ET	T16902
D09FGL	T08499
D0YO8B	T61243
D0J6JT	T11072
D00GCC	T72458
D09QOB	T86399
D04QRM	T06273
D0V0QJ	T46700
D0S9XO	T04902
D03EHM	T59328
D0H2CM	T37371
D0H2CM	T75243
D07QYU	T67818
D07QYU	T35664
D07QYU	T82083
D05MXI	T16555
D0B4SU	T64977
D06HNS	T12241
D0A9RM	T44282
D0VF5V	T23714
D07PPM	T36059
D07PPM	T92072
D07PPM	T86679
D09RKX	T92072
D09RKX	T86679
D09RKX	T36059
D00IOF	T92072
D00IOF	T86679
D00IOF	T36059
D0Y5WQ	T86679
D0Y5WQ	T92072
D0Y5WQ	T36059
D0U1DR	T64765
D01AAI	T36059
D01AAI	T92072
D01AAI	T86679
D03AAC	T13852
D04JXA	T15439
D0LL8I	T34296
D0Y1SR	T85943
D0Y1SR	T12499
D0NY1V	T23714
D0YV1R	T92072
D00HLW	T55005
D00HLW	T21653
D0H9BP	T36059
D0NJ7Y	T67818
D0L5BW	T67818
D0X0GV	T53585
D0F5QL	T62306
D0J5FK	T74977
D0J5FK	T08123
D01OXV	T08123
D0Q8BK	T89747
D02RWC	T84703
D02RWC	T51076
D06TLL	T47107
D06TLL	T12808
D06TLL	T40276
D06TLL	T49368
D06TLL	T74258
D0MA8C	T78709
D03KNI	T59679
D08SGF	T52790
D02UJO	T29683
D0RR7X	T52790
D00OMW	T87831
D05UWQ	T87831
D0XF9F	T89534
D0S6NE	T15497
D0Z3MT	T98275
D08VTS	T68706
D01XLZ	T98134
D0O7UT	T21307
D07QMY	T59679
D02FQG	T09572
D0TX8L	T20958
D02BER	T58992
D02BER	T60693
D02BER	T47768
D04NBD	T97917
D0E9JD	T81900
D04SEX	T80896
D0LA6S	T47094
D00YAZ	T46937
D07CVE	T52790
D00NQV	T24983
D06ABL	T29500
D03FKF	T78709
D08UWO	T79780
D08UWO	T90818
D00HXX	T05090
D05AMQ	T03529
D05AMQ	T93580
D0H9BP	T86679
D0H9BP	T92072
D04DVT	T86679
D0ZB7Z	T72841
D01DMN	T40556
D07FGY	T42048
D07FGY	T90985
D07FGY	T86399
D07FGY	T40556
D0MY2Y	T61227
D0M0QQ	T70851
D0M0QQ	T71374
D0M0QQ	T63298
D0MT5K	T75596
D0J2YB	T59604
D00SGZ	T59881
D00SGZ	T66237
D00SGZ	T79232
D00NIT	T79232
D00NIT	T66237
D00NIT	T59881
D0ZJ6Y	T52790
D0U4WP	T52790
D0N1PH	T52790
D0M0HE	T81850
D0S2TI	T90828
D0Q4UA	T61746
D0E4LC	T64977
D0L3EP	T59604
D06PJW	T83202
D06PJW	T85435
D06PJW	T56418
D06PJW	T64977
D0Z3TJ	T13714
D0Z3TJ	T52297
D03VGO	T16514
D0N4LR	T98198
D0N4LR	T13176
D0T3WL	T95682
D0T3WL	T15745
D0B3ZB	T85250
D0B3ZB	T70977
D0Q7TO	T97592
D0Q7TO	T70977
D0Q7TO	T85943
D02TVQ	T25265
D02TVQ	T17986
D01MEP	T70977
D02ZIY	T70977
D0X1RH	T40694
D0X1RH	T49102
D0S3DD	T56057
D0EV7U	T16739
D0Q6TU	T64765
D0UN9O	T74312
D0UN9O	T59102
D0UN9O	T55414
D05NXX	T65783
D0UI7U	T98225
D0UI7U	T92803
D0UI7U	T73725
D0UI7U	T46685
D09CFW	T67162
D0RF7O	T12091
D0RF7O	T60213
D0RF7O	T36959
D00WNA	T67684
D08QPU	T24983
D06RAM	T82146
D0C5GF	T15571
D0C5GF	T83813
D0C5GF	T79062
D0C5GF	T16691
D0M5DR	T93580
D0M5DR	T03529
D0Y8DT	T06093
D0Y8DT	T97592
D03CPB	T97141
D03CPB	T68766
D03CPB	T37961
D03CPB	T00075
D03CPB	T70840
D03CPB	T60003
D03CPB	T06093
D03CPB	T51282
D05UWW	T16808
D0N0LN	T25005
D0N0LN	T57307
D08ZTK	T24983
D0O3PE	T59679
D0JQ1D	T94085
D0G5UD	T92828
D09RYV	T85799
D09RYV	T79824
D0Z9XV	T99954
D0B0NO	T85228
D02BJB	T85228
D05QAD	T85228
D0W4JS	T99954
D0JA5D	T85228
D01CRJ	T30563
D0X0AM	T34234
D05DYX	T52790
D0KX3C	T52790
D0YX4V	T98269
D0U7OO	T96862
D0I0QH	T96862
D0U9QD	T85915
D0U9QD	T78915
D07FPS	T87023
D07TQF	T87023
D09FQT	T87023
D0D1NQ	T87023
D0Q6EK	T87023
D0BV8A	T87023
D05XSV	T87023
D05BJY	T87023
D07DAK	T87023
D05UZY	T09572
D0L5JL	T92072
D0L3GT	T23714
D0C2KS	T05849
D0C2KS	T28330
D07ZZG	T51408
D04MAP	T87670
D0E2SI	T10756
D0T2QL	T53892
D0Z7EF	T34296
D09KGN	T86528
D09JGO	T66011
D07UYV	T59328
D0G4LX	T83369
D0M6UK	T55959
D0T4FT	T04902
D00TBG	T53585
D05ONZ	T86528
D0H0LP	T42447
D0H0LP	T56418
D02FGK	T70633
D0Z3NE	T89697
D05OHM	T81850
D02NZE	T90961
D02NZE	T56418
D0S4LW	T81850
D08TVU	T56418
D08TVU	T77061
D08TVU	T77139
D06AJN	T81850
D0Y4MC	T32060
D0Y4MC	T78709
D0Y4MC	T11072
D0Y4MC	T84117
D0Y4MC	T77913
D0Y4MC	T07806
D0Y1HN	T92828
D0WG9Y	T67818
D05BYD	T64765
D0CM6T	T67619
D0ZG7W	T59604
D0YH7K	T58307
D0OR6O	T40488
D0OR6O	T86702
D04NZF	T82665
D00HNG	T12475
D0C7ED	T09572
D06WQP	T68290
D06WQP	T77236
D0R7SM	T92076
D0F2YC	T86385
D0R4BT	T73482
D0R4BT	T69485
D07JMJ	T16902
D01XMY	T53585
D0L2WP	T37961
D0L2WP	T20891
D0L2WP	T71266
D0L2WP	T94621
D0L2WP	T67619
D0L2WP	T94479
D01TDV	T77764
D01TDV	T17552
D0AF1J	T76723
D05FXD	T57006
D05FXD	T02446
D05FXD	T73756
D05FXD	T70234
D05FXD	T56121
D05FXD	T28413
D05FXD	T18474
D05FXD	T49507
D05FXD	T58266
D05FXD	T28418
D05FXD	T57278
D0X9PI	T92803
D0X9PI	T82720
D03CUH	T81850
D0ZT0F	T81850
D09IQG	T81850
D0M4YT	T53585
D04AAT	T81850
D04URI	T93653
