drug_id	smiles
Compound::DB00451	N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O
Compound::DB00575	ClC1=CC=CC(Cl)=C1NC1=NCCN1
Compound::DB01218	CCCCN(CCCC)CCC(O)C1=C2C=CC(=CC2=C2C=C(Cl)C=C(Cl)C2=C1)C(F)(F)F
Compound::DB06716	CC(C)C1=CC=CC(C(C)C)=C1OCOP(O)(O)=O
Compound::DB01364	CN[C@@H](C)[C@H](O)C1=CC=CC=C1
Compound::DB01559	CCC1=CC2=C(S1)N(C)C(=O)CN=C2C1=CC=CC=C1Cl
Compound::DB00502	OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1
Compound::DB00715	FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1
Compound::DB01133	OP(O)(=O)C(SC1=CC=C(Cl)C=C1)P(O)(O)=O
Compound::DB00390	[H][C@]12CC[C@]3([H])[C@]([H])(C[C@@H](O)[C@]4(C)[C@H](CC[C@]34O)C3=CC(=O)OC3)[C@@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1
Compound::DB01086	CCOC(=O)C1=CC=C(N)C=C1
Compound::DB00334	CN1CCN(CC1)C1=NC2=CC=CC=C2NC2=C1C=C(C)S2
Compound::DB00975	OCCN(CCO)C1=NC2=C(N=C(N=C2N2CCCCC2)N(CCO)CCO)C(=N1)N1CCCCC1
Compound::DB01332	[H][C@]12SCC=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O
Compound::DB00381	CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC
Compound::DB00536	NC(N)=N
Compound::DB01065	COC1=CC2=C(NC=C2CCNC(C)=O)C=C1
Compound::DB00594	NC(=N)NC(=O)C1=NC(Cl)=C(N)N=C1N
Compound::DB00194	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
Compound::DB01236	FCOC(C(F)(F)F)C(F)(F)F
Compound::DB00907	[H][C@]12CC[C@]([H])([C@H]([C@H](C1)OC(=O)C1=CC=CC=C1)C(=O)OC)N2C
Compound::DB00289	CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1
Compound::DB00619	CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC(NC3=NC=CC(=N3)C3=CN=CC=C3)=C(C)C=C2)CC1
Compound::DB00323	CC1=CC=C(C=C1)C(=O)C1=CC(=C(O)C(O)=C1)[N+]([O-])=O
Compound::DB00568	C(C=CC1=CC=CC=C1)N1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1
Compound::DB00655	[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3
Compound::DB01123	NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1
Compound::DB01032	CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(O)=O
Compound::DB00316	CC(=O)NC1=CC=C(O)C=C1
Compound::DB01233	CCN(CC)CCNC(=O)C1=CC(Cl)=C(N)C=C1OC
Compound::DB04855	CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2
Compound::DB00917	CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O
Compound::DB04877	[H][C@@]12C[C@H](CC)[C@]3([H])N(C1)CCC1=C(NC4=CC(=C(OC)C=C14)[C@@]1([H])C[C@]4([H])C(C(=O)OC)[C@@]([H])(CC5=C1NC1=CC=CC=C51)N(C)C\C4=C\C)[C@@]3(C2)C(=O)OC
Compound::DB08877	N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1
Compound::DB06287	OCC(C)(CO)C(=O)O[C@@H]1CC[C@@H](C[C@@H](C)[C@]2([H])CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@@H](OC)C[C@]3([H])CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)C[C@H]1OC
Compound::DB00215	CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1
Compound::DB01144	NS(=O)(=O)C1=CC(=C(Cl)C(Cl)=C1)S(N)(=O)=O
Compound::DB00115	C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N=C1\C(C)=C1/N=C(/C=C3\N=C(\C(\C)=C4\[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@@]2(C)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O)OP([O-])(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)N1C=NC2=C1C=C(C)C(C)=C2
Compound::DB01268	CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(F)C=C3)=C1C
Compound::DB00327	[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CCC2=O
Compound::DB01015	CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1
Compound::DB00673	C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F
Compound::DB01296	N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
Compound::DB06616	COC1=CC(NC2=C(C=NC3=CC(OCCCN4CCN(C)CC4)=C(OC)C=C23)C#N)=C(Cl)C=C1Cl
Compound::DB00738	NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1
Compound::DB00440	COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC
Compound::DB01151	CNCCCN1C2=CC=CC=C2CCC2=CC=CC=C12
Compound::DB01110	ClC1=CC(Cl)=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1
Compound::DB00703	CN1N=C(S\C1=N\C(C)=O)S(N)(=O)=O
Compound::DB00300	[H][C@@](C)(CN1C=NC2=C(N)N=CN=C12)OCP(=O)(OCOC(=O)OC(C)C)OCOC(=O)OC(C)C
Compound::DB00751	NC1=NCC2N1C1=CC=CC=C1CC1=CC=CC=C21
Compound::DB01254	CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1
Compound::DB00492	CCC(=O)O[C@@H](OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N1C[C@@H](C[C@H]1C(O)=O)C1CCCCC1)C(C)C
Compound::DB00404	CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12
Compound::DB01242	CN(C)CCCN1C2=CC=CC=C2CCC2=C1C=C(Cl)C=C2
Compound::DB00233	NC1=CC(O)=C(C=C1)C(O)=O
Compound::DB08795	[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N=[N+]=[N-])C1=CC=CC=C1)C(O)=O
Compound::DB00255	CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1
Compound::DB01087	COC1=CC(NC(C)CCCN)=C2N=CC=CC2=C1
Compound::DB00471	OC(=O)CC1(CC1)CS[C@H](CCC1=CC=CC=C1C(O)(C)C)C1=CC=CC(\C=C\C2=NC3=C(C=CC(Cl)=C3)C=C2)=C1
Compound::DB00371	CCCC(C)(COC(N)=O)COC(N)=O
Compound::DB00130	N[C@@H](CCC(N)=O)C(O)=O
Compound::DB00915	NC12CC3CC(CC(C3)C1)C2
Compound::DB00583	C[N+](C)(C)C[C@H](O)CC([O-])=O
Compound::DB04842	FC1=CC=C(C=C1)C(CCCN1CCC2(CC1)N(CNC2=O)C1=CC=CC=C1)C1=CC=C(F)C=C1
Compound::DB01173	CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1C
Compound::DB01149	CCC1=NN(CCCN2CCN(CC2)C2=CC(Cl)=CC=C2)C(=O)N1CCOC1=CC=CC=C1
Compound::DB00669	CNS(=O)(=O)CC1=CC=C2NC=C(CCN(C)C)C2=C1
Compound::DB00570	[H][C@@]12N(C)C3=CC(OC)=C(C=C3[C@@]11CCN3CC=C[C@@](CC)([C@@H](OC(C)=O)[C@]2(O)C(=O)OC)[C@@]13[H])[C@]1(C[C@@]2([H])CN(C[C@](O)(CC)C2)CCC2=C1NC1=C2C=CC=C1)C(=O)OC
Compound::DB00228	FC(F)OC(F)(F)C(F)Cl
Compound::DB01576	C[C@H](N)CC1=CC=CC=C1
Compound::DB00537	OC(=O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O
Compound::DB00723	COC1=CC(C(O)C(C)N)=C(OC)C=C1
Compound::DB01198	CN1CCN(CC1)C(=O)OC1N(C(=O)C2=NC=CN=C12)C1=NC=C(Cl)C=C1
Compound::DB01248	[H][C@@]1(C[C@@]2(O)[C@@H](OC(=O)C3=CC=CC=C3)[C@]3([H])[C@@]4(CO[C@@H]4C[C@H](O)[C@@]3(C)C(=O)[C@H](O)C(=C1C)C2(C)C)OC(C)=O)OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C1=CC=CC=C1
Compound::DB00983	COC1=CC=C(CC(C)NCC(O)C2=CC(NC=O)=C(O)C=C2)C=C1
Compound::DB00867	C[C@H](NCCC1=CC=C(O)C=C1)[C@H](O)C1=CC=C(O)C=C1
Compound::DB00549	COC1=CC(=CC=C1CC1=CN(C)C2=C1C=C(NC(=O)OC1CCCC1)C=C2)C(=O)NS(=O)(=O)C1=CC=CC=C1C
Compound::DB00093	NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O
Compound::DB01094	COC1=C(O)C=C(C=C1)[C@@H]1CC(=O)C2=C(O)C=C(O)C=C2O1
Compound::DB01594	OC1N=C(C2=CC=CC=C2F)C2=C(C=CC(Cl)=C2)N(CCC#N)C1=O
Compound::DB00794	CCC1(C(=O)NCNC1=O)C1=CC=CC=C1
Compound::DB01131	CC(C)NC(=N)NC(=N)NC1=CC=C(Cl)C=C1
Compound::DB01075	CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1
Compound::DB09028	O=C1C=CC=C2[C@H]3CNC[C@H](C3)CN12
Compound::DB01088	[H][C@]12C[C@@H](O)[C@H](\C=C\[C@@H](O)C(C)CC#CC)[C@@]1([H])C\C(C2)=C\CCCC(O)=O
Compound::DB00279	N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O
Compound::DB00753	FC(F)OC(Cl)C(F)(F)F
Compound::DB01544	CN1C2=C(C=C(C=C2)[N+]([O-])=O)C(=NCC1=O)C1=CC=CC=C1F
Compound::DB01029	CCCCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1
Compound::DB00123	NCCCC[C@H](N)C(O)=O
Compound::DB00273	[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2
Compound::DB01628	CC1=NC=C(C=C1)C1=C(C=C(Cl)C=N1)C1=CC=C(C=C1)S(C)(=O)=O
Compound::DB00540	CNCCC=C1C2=CC=CC=C2CCC2=CC=CC=C12
Compound::DB00458	CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C12
Compound::DB00835	CN(C)CCC(C1=CC=C(Br)C=C1)C1=CC=CC=N1
Compound::DB01108	[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]23O[C@@H]2C(O)=C(C[C@]13C)C#N
Compound::DB04861	OC(CNCC(O)C1CCC2=C(O1)C=CC(F)=C2)C1CCC2=C(O1)C=CC(F)=C2
Compound::DB08828	CS(=O)(=O)C1=CC(Cl)=C(C=C1)C(=O)NC1=CC=C(Cl)C(=C1)C1=CC=CC=N1
Compound::DB00624	[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
Compound::DB00921	CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1CC4=C5C(O[C@@H]2[C@@]35CCN1CC1CC1)=C(O)C=C4
Compound::DB00154	CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O
Compound::DB00145	NCC(O)=O
Compound::DB00158	NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1
Compound::DB00405	CN(C)CC[C@@H](C1=CC=C(Br)C=C1)C1=CC=CC=N1
Compound::DB00997	COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O
Compound::DB00651	CN1C2=C(N(CC(O)CO)C=N2)C(=O)N(C)C1=O
Compound::DB00567	[H][C@]12SCC(C)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O
Compound::DB00530	COCCOC1=CC2=C(C=C1OCCOC)C(NC1=CC(=CC=C1)C#C)=NC=N2
Compound::DB00608	CCN(CC)CCCC(C)NC1=CC=NC2=CC(Cl)=CC=C12
Compound::DB08804	[H][C@@]12CC[C@H](OC(=O)CCCCCCCCC)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]
Compound::DB00278	C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C@H](CCCNC(N)=N)NS(=O)(=O)C1=CC=CC2=C1NCC(C)C2
Compound::DB08834	[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCCS(O)(=O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@H](O)C[C@]2([H])C[C@H](O)CC[C@]12C
Compound::DB00332	[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(CO)C1=CC=CC=C1)[N+]2(C)C(C)C
Compound::DB01229	[H][C@]12[C@H](OC(=O)C3=CC=CC=C3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)C4=CC=CC=C4)C4=CC=CC=C4)C(C)=C([C@@H](OC(C)=O)C(=O)[C@]1(C)[C@@H](O)C[C@H]1OC[C@@]21OC(C)=O)C3(C)C
Compound::DB01186	[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@@H](CSC)CN2CCC
Compound::DB01045	CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(O)C(\C=N\N4CCN(C)CC4)=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(O)=C2C(O)=C3C
Compound::DB01223	NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O
Compound::DB00988	NCCC1=CC(O)=C(O)C=C1
Compound::DB06148	CN1CCN2C(C1)C1=CC=CC=C1CC1=CC=CC=C21
Compound::DB01238	ClC1=CC=CC(N2CCN(CCCCOC3=CC4=C(CCC(=O)N4)C=C3)CC2)=C1Cl
Compound::DB01327	[H][C@]12SCC(CSC3=NN=C(C)S3)=C(N1C(=O)[C@H]2NC(=O)CN1C=NN=N1)C(O)=O
Compound::DB06795	NCC1=CC=C(C=C1)S(N)(=O)=O
Compound::DB00420	CN(C)CCCN1C2=CC=CC=C2SC2=CC=CC=C12
Compound::DB06589	CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=CC=NC(NC2=CC=C(C)C(=C2)S(N)(=O)=O)=N1
Compound::DB00945	CC(=O)OC1=CC=CC=C1C(O)=O
Compound::DB01037	C[C@H](CC1=CC=CC=C1)N(C)CC#C
Compound::DB08873	[H][C@]12CN([C@H](C(=O)NC(CC3CCC3)C(=O)C(N)=O)[C@@]1([H])C2(C)C)C(=O)[C@@H](NC(=O)NC(C)(C)C)C(C)(C)C
Compound::DB00543	ClC1=CC2=C(OC3=CC=CC=C3N=C2N2CCNCC2)C=C1
Compound::DB00726	CC(CN(C)C)CN1C2=CC=CC=C2CCC2=CC=CC=C12
Compound::DB08981	OC(=O)CCC(=O)C1=CC=C(C=C1)C1=CC=CC=C1
Compound::DB08865	C[C@@H](OC1=CC(=CN=C1N)C1=CN(N=C1)C1CCNCC1)C1=C(Cl)C=CC(F)=C1Cl
Compound::DB00774	NS(=O)(=O)C1=CC2=C(NCNS2(=O)=O)C=C1C(F)(F)F
Compound::DB00647	CCC(=O)O[C@@](CC1=CC=CC=C1)([C@H](C)CN(C)C)C1=CC=CC=C1
Compound::DB00356	ClC1=CC2=C(OC(=O)N2)C=C1
Compound::DB04946	COC1=C(OCCCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C=CC(=C1)C(C)=O
Compound::DB00586	OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl
Compound::DB00748	CN(C)CCOC(C1=CC=C(Cl)C=C1)C1=CC=CC=N1
Compound::DB05294	COC1=C(OCC2CCN(C)CC2)C=C2N=CN=C(NC3=C(F)C=C(Br)C=C3)C2=C1
Compound::DB01076	CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC(O)=O)C1=CC=C(F)C=C1)C1=CC=CC=C1
Compound::DB04868	CC1=CN(C=N1)C1=CC(NC(=O)C2=CC=C(C)C(NC3=NC=CC(=N3)C3=CN=CC=C3)=C2)=CC(=C1)C(F)(F)F
Compound::DB00882	CCN(CC)CCOC1=CC=C(C=C1)C(=C(Cl)C1=CC=CC=C1)C1=CC=CC=C1
Compound::DB01136	COC1=CC=CC=C1OCCNCC(O)COC1=CC=CC2=C1C1=CC=CC=C1N2
Compound::DB01085	CC[C@H]1[C@@H](CC2=CN=CN2C)COC1=O
Compound::DB00160	C[C@H](N)C(O)=O
Compound::DB01621	CN(C)S(=O)(=O)C1=CC2=C(SC3=CC=CC=C3N2CCCN2CCC(CCO)CC2)C=C1
Compound::DB00908	[H][C@@]12CCN(C[C@@H]1C=C)[C@]([H])(C2)[C@@H](O)C1=C2C=C(OC)C=CC2=NC=C1
Compound::DB00270	COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C
Compound::DB00196	OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1
Compound::DB00604	CO[C@H]1CN(CCCOC2=CC=C(F)C=C2)CC[C@H]1NC(=O)C1=CC(Cl)=C(N)C=C1OC
Compound::DB00801	FC(F)(F)CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1
Compound::DB01280	COC1=NC(N)=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
Compound::DB00620	[H][C@@]12C[C@@H](O)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
Compound::DB00679	CSC1=CC2=C(SC3=CC=CC=C3N2CCC2CCCCN2C)C=C1
Compound::DB01100	FC1=CC=C(C=C1)C(CCCN1CCC(CC1)N1C(=O)NC2=CC=CC=C12)C1=CC=C(F)C=C1
Compound::DB00398	CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1
Compound::DB00935	CC1=CC(=C(O)C(C)=C1CC1=NCCN1)C(C)(C)C
Compound::DB00523	C\C(\C=C\C1=C(C)CCCC1(C)C)=C\C=C\C(\C)=C\C(O)=O
Compound::DB01567	CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1F
Compound::DB00214	CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1
Compound::DB00497	COC1=C2O[C@H]3C(=O)CC[C@@]4(O)[C@H]5CC(C=C1)=C2[C@@]34CCN5C
Compound::DB00182	CC(N)CC1=CC=CC=C1
Compound::DB00304	[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCCC=C3CC[C@@]21[H]
Compound::DB00189	CCC(O)(\C=C\Cl)C#C
Compound::DB00149	CC(C)C[C@H](N)C(O)=O
Compound::DB00883	[H][C@]12OC[C@H](O[N+]([O-])=O)[C@@]1([H])OC[C@H]2O[N+]([O-])=O
Compound::DB00977	[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3
Compound::DB00585	CNC(NCCSCC1=CSC(CN(C)C)=N1)=C[N+]([O-])=O
Compound::DB01251	COC1=CC2=C(C=C1)C(C)(C)C(=O)N(CCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1)C2=O
Compound::DB01028	COC(F)(F)C(Cl)Cl
Compound::DB00276	COC1=C(NC2=C3C=CC=CC3=NC3=CC=CC=C23)C=CC(NS(C)(=O)=O)=C1
Compound::DB00259	NC1=CC=C(C=C1)S(N)(=O)=O
Compound::DB00973	[H][C@]1(CC[C@H](O)C2=CC=C(F)C=C2)C(=O)N(C2=CC=C(F)C=C2)[C@]1([H])C1=CC=C(O)C=C1
Compound::DB00842	OC1N=C(C2=CC=CC=C2)C2=C(NC1=O)C=CC(Cl)=C2
Compound::DB08889	CC(C)C[C@H](NC(=O)[C@H](CCC1=CC=CC=C1)NC(=O)CN1CCOCC1)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1
Compound::DB06414	CC1=CC(=CC(C)=C1OC1=C(Br)C(N)=NC(NC2=CC=C(C=C2)C#N)=N1)C#N
Compound::DB00367	[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]
Compound::DB00784	CC1=C(C)C(NC2=CC=CC=C2C(O)=O)=CC=C1
Compound::DB06708	CCCCN(CCCC)CC(O)C1=C2C(=CC(Cl)=C1)\C(=C/C1=CC=C(Cl)C=C1)C1=C2C=CC(Cl)=C1
Compound::DB00650	[H]C(=O)N1C(CNC2=CC=C(C=C2)C(=O)N[C@@H](CCC(O)=O)C(O)=O)CNC2=C1C(=O)NC(N)=N2
Compound::DB01058	O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1
Compound::DB00839	CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN1CCCCCC1
Compound::DB00248	[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC
Compound::DB00927	NC(N)=NC1=NC(CSCCC(N)=NS(N)(=O)=O)=CS1
Compound::DB00829	CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1
Compound::DB00281	CCN(CC)CC(=O)NC1=C(C)C=CC=C1C
Compound::DB01244	CC(C)COCC(CN(CC1=CC=CC=C1)C1=CC=CC=C1)N1CCCC1
Compound::DB06712	COC(=O)C1=C(NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC(C)C)C#N
Compound::DB06637	NC1=CC=NC=C1
Compound::DB06707	C[C@H](N)[C@H](O)C1=CC(O)=C(O)C=C1
Compound::DB01440	OCCCC(O)=O
Compound::DB00170	CC1=CC(=O)C2=CC=CC=C2C1=O
Compound::DB00949	NC(=O)OCC(COC(N)=O)C1=CC=CC=C1
Compound::DB00468	[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@H](O)C1=CC=NC2=CC=C(OC)C=C12
Compound::DB01199	[H][C@@]12CC3=CC=C(OC4=C5C(CC[N+](C)(C)[C@]5([H])CC5=CC(OC6=C(OC)C=C(CCN1C)C2=C6)=C(O)C=C5)=CC(OC)=C4O)C=C3
Compound::DB01021	NS(=O)(=O)C1=C(Cl)C=C2NC(NS(=O)(=O)C2=C1)C(Cl)Cl
Compound::DB01589	FC1=CC=CC=C1C1=NCC(=S)N(CC(F)(F)F)C2=C1C=C(Cl)C=C2
Compound::DB00861	OC(=O)C1=C(O)C=CC(=C1)C1=C(F)C=C(F)C=C1
Compound::DB01022	CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC\C(C)=C\CC1=C(C)C(=O)C2=C(C=CC=C2)C1=O
Compound::DB00796	CCOC1=NC2=C(N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NN=NN1)C(=CC=C2)C(=O)OC(C)OC(=O)OC1CCCCC1
Compound::DB00607	[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(OCC)C=CC2=CC=CC=C12)C(O)=O
Compound::DB00139	OC(=O)CCC(O)=O
